Key	Type	Priority	Assignee	fixVersions	Summary
AI-228	New Feature/Story	None	Unassigned		Support Chrome Plugin Access with Shifts-Only Feature Flag (Without Hera AI)
HAPP-376	New Feature/Story	Urgent - Stop Other Work	Unassigned		Enable Messaging Feature in Associate App - Read Credentials from DynamoDB instead of RDS
HAPP-407	New Feature/Story	Urgent - Stop Other Work	Unassigned		Mobile App - Show Tenant/Company Name in Single Associate Chat
HAPP-413	New Feature/Story	Urgent - Stop Other Work	Unassigned		Mobile App - Show group cover image in channel list and group channel header
HAPP-421	New Feature/Story	Urgent - Stop Other Work	Unassigned		Read receipt indicators + notification title shows company name for 1:1 channels
HAPP-338	New Feature/Story	Priority (See Target Release)	Unassigned	1.0.1	Associate App: Use locale settings for numerical values (times, dates, etc)
HAPP-377	Bug	Priority (See Target Release)	Unassigned		Investigate why associates are redirecting to associate app if magic link is expired and app is not enabled.
HAPP-402	Bug	Priority (See Target Release)	Unassigned		Turn off the Leave Channel feature on Long press In Messenger 
HAPP-403	New Feature/Story	Priority (See Target Release)	Unassigned	4.1.7	Add tenants status check to permissions middleware 
HAPP-404	New Feature/Story	Priority (See Target Release)	Unassigned		Associate App - Block Messages feature when Messenger V2 is disabled for tenant
HAPP-406	Bug	Priority (See Target Release)	Unassigned		Hide member count in group conversations on mobile
HAPP-408	New Feature/Story	Priority (See Target Release)	Unassigned		Mobile App - Hide Member Count from Conversation List
HAPP-409	New Feature/Story	Priority (See Target Release)	Unassigned		Mobile App - Company Message Avatar in Chat (Company Icon vs Associate Avatar)
HAPP-411	New Feature/Story	Priority (See Target Release)	Unassigned		Mobile – Messenger: Update the text on the "Application Disabled" screen
HAPP-412	New Feature/Story	Priority (See Target Release)	Unassigned	4.1.7	Login Screen: Consent language for sending message to phone number / email address
HAPP-352	Bug	None	Unassigned	1.0.1	The "Please download our App" banner should only appear when Associate App feature flags are enabled for the Tenant
HAPP-378	New Feature/Story	None	Mohsan Majeed	4.1.7	Document signing using Documenso
HAPP-410	New Feature/Story	None	Unassigned		Mobile App - Clickable Links in Announcement/System Messages with Styled Frame
HAPP-414	Bug	None	Unassigned	4.1.7	VPC configuration wiped on Lambda deployment causing RDS connectivity failures
HAPP-416	New Feature/Story	None	Unassigned		Associate App MVP: Schedule Feature
HA-2303	New Feature/Story	Urgent - Stop Other Work	Unassigned		Add IAM-Protected Internal Route for Associate Lambda to Access Messenger APIs for Associate App 
HA-2368	Bug	Urgent - Stop Other Work	Unassigned		Fix Responsiveness Issues in Messenger 
HA-2385	New Feature/Story	Urgent - Stop Other Work	Unassigned		Upload onboarding documentation for Messenger module (Frontend & Backend)
HA-2388	Bug	Urgent - Stop Other Work	Unassigned		Messenger: Remove unnecessary counseling permission check from New group button
HA-2408	New Feature/Story	Urgent - Stop Other Work	Unassigned		Messenger: Enlarge avatar size in group info associate list
HA-2412	New Feature/Story	Urgent - Stop Other Work	Unassigned		Messenger: Show "Group Conversation" label in group chat header
